__quarterly__,y,y_tnd,y_gap,ad_y,d4_y,ad_y_tnd,d4_y_tnd,cpi,ad_cpi,d4_cpi,ad_cpi_ste,rs,rs_unc,mpr,rrs,rrs_tnd,rrs_gap,obs_y,obs_rs,obs_cpi,shk_ad_y_tnd,shk_y_gap,shk_ad_cpi,shk_ad_cpi_ste,shk_rs,shk_rrs_tnd,ant_shk_ad_y_tnd,ant_shk_y_gap,ant_shk_ad_cpi,ant_shk_ad_cpi_ste,ant_shk_rs,ant_shk_rrs_tnd,shk_obs_y,shk_obs_cpi,shk_obs_rs,filter_span,,__unknown__,obs_ad_y,obs_y_gap,obs_ad_cpi,std_shk_ad_y_tnd,std_shk_y_gap,std_shk_ad_cpi,std_shk_ad_cpi_ste,std_shk_rs,std_shk_rrs_tnd,std_shk_obs_y,std_shk_obs_cpi,std_shk_obs_rs,
2017-Q3,988.638035530227,988.580226926947,0.05780860328,3.141726102728,2.382219888701,2.933307345103,2.60493261039,550.242895352907,1.907618341108,1.926267109577,1.929085320992,1.036666666667,1.036666666667,-0.294996846516,-0.888908355664,-0.630380283325,-0.258528072339,988.638035530227,1.036666666667,550.242895352907,0.182375499249,0.02767786064,0.780066369258,0.003510298662,-0.057084121705,-0.025928756355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2017-Q4,989.758778307166,989.404160957778,0.354617349389,4.482971107745,2.950194137019,3.295736123311,2.869604701421,551.035278368007,3.169532060396,2.085873846829,3.13065674998,1.206666666667,1.206666666667,4.159298070836,-1.920947702162,-0.634953959296,-1.285993742866,989.758778307166,1.206666666667,551.035278368007,0.434094145463,0.182661522641,0.676084700356,0.003042381152,-1.110657851043,-0.036092690136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2018-Q1,990.568897762083,990.216906235914,0.351991526169,3.240477819655,3.274604858832,3.250981112533,3.074198736254,551.874389676776,3.356445235071,2.223709235087,3.275945033584,1.56,1.56,4.66651400611,-1.715477806756,-0.649335925348,-1.066141881408,990.568897762083,1.56,551.874389676776,0.045031795387,-0.020585674014,0.103828184124,0.000467226829,-1.011628501528,-0.046129664016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2018-Q2,991.09831899246,990.965460289008,0.132858703453,2.117684921497,3.245714987911,2.994216212365,3.118560198332,552.4173236199,2.171735772491,2.651332852266,2.134970078664,1.84,1.84,0.417596623472,-0.297887570471,-0.662083433764,0.364195863294,991.09831899246,1.84,552.4173236199,-0.169215844542,-0.094715354846,-0.648331512542,-0.002917491806,0.065600844131,-0.045214304684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2018-Q3,991.720079474982,991.632236042601,0.087843432381,2.487041930075,3.082043944748,2.667103014361,3.052009115646,552.818360322306,1.604146809621,2.575464969394,1.603450599198,2.04,2.04,-1.569122278058,0.4351064984,-0.667273915012,1.102380413412,991.720079474982,2.04,552.818360322306,-0.252402387387,0.098437446132,-0.320644978127,-0.001442902402,0.552280569514,-0.038294652936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2018-Q4,991.861623473301,992.182486529192,-0.320863055891,0.566175993265,2.102845166128,2.201001946356,2.778325571408,553.224654332408,1.625176040403,2.189375964396,1.504481448689,2.316666666667,2.316666666667,-2.040287840835,0.812626060247,-0.675761952153,1.4883880124,991.861623473301,2.316666666667,553.224654332408,-0.407745917287,-0.237906828939,0.097964948791,0.00044084227,0.796738626875,-0.041851732891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2019-Q1,992.484000764028,992.774291455836,-0.290290691808,2.489509162896,1.915103001938,2.367219706562,2.557385219915,553.491270222514,1.066463560418,1.616880545733,1.003802943102,2.386666666667,2.386666666667,-3.877280311955,1.381738428738,-0.683273453016,2.065011881754,992.484000764028,2.386666666667,553.491270222514,0.201267857523,0.156857788285,-0.250065517018,-0.001125294827,1.118486744655,-0.04129959847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2019-Q2,993.315678557317,993.331765277534,-0.016086720217,3.326711173145,2.21735956485,2.229895286783,2.366304988519,554.223300971629,2.928122996454,1.805977351724,2.758048189018,2.3,2.3,2.602098544303,-0.453088941405,-0.698696477077,0.245607535672,993.315678557317,2.3,554.223300971629,-0.093963434452,0.226192052205,1.102055025188,0.004959247613,-0.640524636077,-0.049586696712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2019-Q3,994.478888815408,993.780251342853,0.698637472556,4.652841032351,2.758809340419,1.793944261263,2.148015300245,554.55263419411,1.317332889919,1.734273871798,1.495992767786,1.98,1.98,-1.84996601825,0.479344353585,-0.731621664098,1.210966017682,994.478888815408,1.98,554.55263419411,-0.399456261181,0.831799114485,-1.03619525089,-0.004662878629,0.217491504562,-0.067860010874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2019-Q4,995.158452412214,993.677273526143,1.481178886071,2.718254387212,3.296828938906,-0.411911266849,1.494786996943,555.25253821421,2.799616080393,2.027883881796,3.053654231834,1.576666666667,1.576666666667,4.016932065378,-1.474499872026,-0.780214225899,-0.694285646127,995.158452412214,1.576666666667,555.25253821421,-2.191158315049,0.88777221704,0.552820698005,0.002487693141,-1.412566349678,-0.085173645006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
