__quarterly__,y,cpi,rs,
2008-Q4,971.022738670296,536.526859975363,0.296666666667,
2009-Q1,969.881375534305,535.836613631899,0.213333333333,
2009-Q2,969.702564812542,536.366961901645,0.173333333333,
2009-Q3,970.053141967256,537.223674949136,0.156666666667,
2009-Q4,971.128255505181,538.003559283289,0.056666666667,
2010-Q1,971.611586527249,538.161937231884,0.106666666667,
2010-Q2,972.57452150951,538.126661536625,0.146666666667,
2010-Q3,973.34264878001,538.419379417067,0.156666666667,
2010-Q4,973.866385144455,539.225842771885,0.136666666667,
2011-Q1,973.62889847085,540.287405922672,0.126666666667,
2011-Q2,974.303202217717,541.418004097202,0.046666666667,
2011-Q3,974.280886992138,542.067953159985,0.023333333333,
2011-Q4,975.397676673284,542.515851263171,0.013333333333,
2012-Q1,976.232770855164,543.077443229004,0.066666666667,
2012-Q2,976.678112481796,543.288322392935,0.086666666667,
2012-Q3,976.822036858282,543.738776551434,0.103333333333,
2012-Q4,976.937610599857,544.401527932776,0.086666666667,
2013-Q1,977.919336526409,544.802676992004,0.086666666667,
2013-Q2,978.186615352922,544.693131837467,0.05,
2013-Q3,979.034405008172,545.232517902738,0.033333333333,
2013-Q4,979.902369031998,545.601603054336,0.063333333333,
2014-Q1,979.556676217032,546.222458193086,0.046666666667,
2014-Q2,980.840245239947,546.752131807763,0.033333333333,
2014-Q3,982.048310072526,547.007639124299,0.026666666667,
2014-Q4,982.552768674069,546.758886273101,0.023333333333,
2015-Q1,983.449223461761,546.10950125758,0.026666666667,
2015-Q2,984.066718120015,546.789135051949,0.02,
2015-Q3,984.466164331584,547.166124430964,0.04,
2015-Q4,984.650473504294,547.15855650886,0.123333333333,
2016-Q1,985.228320156142,547.09644988676,0.286666666667,
2016-Q2,985.548929722409,547.893052040794,0.256666666667,
2016-Q3,986.255815641519,548.316628243326,0.296666666667,
2016-Q4,986.80858417014,548.949404521174,0.43,
2017-Q1,987.294292903244,549.650680441684,0.59,
2017-Q2,987.852604004542,549.765990767629,0.89,
2017-Q3,988.638035530227,550.242895352907,1.036666666667,
2017-Q4,989.758778307166,551.035278368007,1.206666666667,
2018-Q1,990.568897762083,551.874389676776,1.56,
2018-Q2,991.09831899246,552.4173236199,1.84,
2018-Q3,991.720079474982,552.818360322306,2.04,
2018-Q4,991.861623473301,553.224654332408,2.316666666667,
2019-Q1,992.484000764028,553.491270222514,2.386666666667,
2019-Q2,993.315678557317,554.223300971629,2.3,
2019-Q3,994.478888815408,554.55263419411,1.98,
2019-Q4,995.158452412214,555.25253821421,1.576666666667,
2020-Q1,993.833390441417,555.612382407844,1.11,
2020-Q2,985.62906983739,554.631741946111,0.143333333333,
2020-Q3,993.104819473635,555.76835515196,0.113333333333,
2020-Q4,994.231958439339,556.487155894399,0.093333333333,
2021-Q1,995.618123092813,557.497261643731,0.05,
2021-Q2,997.305694446989,559.303835758448,0.026666666667,
2021-Q3,998.127362361181,560.884766883469,0.046666666667,
2021-Q4,999.828564670152,563.039185198341,0.053333333333,
2022-Q1,999.573440878857,565.215813132595,0.306666666667,
2022-Q2,999.729865473942,567.540128986208,1.076666666667,
2022-Q3,1000.449171806472,568.85097717425,2.663333333333,
2022-Q4,1001.137040941504,569.890950991433,4.04,
2023-Q1,1001.858284611429,570.7875199133,4.626666666667,
2023-Q2,1002.48419366623,571.504437626741,5.073333333333,
2023-Q3,1003.63119640584,572.354915359383,5.29,
2023-Q4,1004.471711308486,573.073269952275,5.283333333333,
2024-Q1,1004.681352749951,573.980363023541,5.233333333333,
2024-Q2,1005.562941604224,574.646087831557,5.243333333333,
2024-Q3,1006.38433691913,574.977826199836,4.99,
2024-Q4,1006.843157411962,575.760019111853,4.4,
2025-Q1,1006.68050880632,576.667902349477,4.21,
2025-Q2,1007.622061967116,577.077319502743,4.23,
2025-Q3,1008.692656807376,577.837961286298,4.096666666667,
2025-Q4,1008.812929062657,578.459180365203,3.73,
2026-Q1,1009.305475446307,579.336009306684,3.593333333333,
